p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.29E-15,0.367946348,0.729,0.533,1.89E-11,0,ARHGDIA
2.00E-15,0.337852184,0.779,0.589,2.93E-11,0,UBE2L6
2.15E-15,0.33741212,0.806,0.646,3.14E-11,0,RBM3
4.53E-15,0.265470267,0.418,0.244,6.62E-11,0,IFI44L
4.83E-15,0.300065921,0.91,0.798,7.05E-11,0,TPM3
5.48E-15,0.358534479,0.66,0.474,8.00E-11,0,PLAAT4
5.95E-15,0.343225254,0.832,0.678,8.69E-11,0,TMEM50A
6.16E-15,0.374996281,0.474,0.293,8.99E-11,0,TIMP1
6.60E-15,0.344228541,0.428,0.255,9.64E-11,0,MAL
7.84E-15,0.284226003,0.173,0.072,1.15E-10,0,TMEM273
1.10E-14,0.33605442,0.274,0.144,1.60E-10,0,APOL2
1.20E-14,0.310860875,0.542,0.358,1.76E-10,0,CCND2
1.84E-14,0.272161047,0.857,0.701,2.69E-10,0,ISG20
2.07E-14,0.256129714,0.968,0.888,3.02E-10,0,ARPC3
2.72E-14,0.423319345,0.639,0.474,3.98E-10,0,TUBA4A
5.30E-14,0.414350942,0.548,0.378,7.74E-10,0,BATF
5.95E-14,0.341177387,0.271,0.143,8.69E-10,0,LMO4
9.83E-14,0.277545305,0.271,0.142,1.43E-09,0,BID
1.31E-13,0.337099804,0.24,0.122,1.91E-09,0,LY96
1.60E-13,0.259403628,0.236,0.117,2.34E-09,0,APOL3
1.81E-13,0.289251737,0.215,0.104,2.64E-09,0,FRMD4B
2.01E-13,0.277998173,0.569,0.386,2.94E-09,0,SAT1
2.28E-13,0.311060882,0.28,0.155,3.32E-09,0,RAB11FIP1
2.37E-13,0.361704881,0.651,0.487,3.45E-09,0,PHF11
3.29E-13,0.293570171,0.175,0.077,4.81E-09,0,LPAR6
7.98E-13,0.300223491,0.812,0.686,1.17E-08,0,CSTB
8.56E-13,0.253012144,0.979,0.916,1.25E-08,0,S100A10
1.63E-12,0.304691348,0.401,0.252,2.39E-08,0,GLRX
2.00E-12,0.266925084,0.402,0.242,2.92E-08,0,CARD16
2.24E-12,0.331277643,0.429,0.28,3.27E-08,0,SQOR
2.44E-12,0.298065322,0.391,0.246,3.56E-08,0,RGS19
2.62E-12,0.288718075,0.962,0.903,3.83E-08,0,PGK1
4.52E-12,0.31028264,0.365,0.225,6.60E-08,0,GSDMD
4.91E-12,0.287490577,0.413,0.259,7.17E-08,0,IL2RA
7.35E-12,0.280710627,0.548,0.371,1.07E-07,0,TNFRSF18
1.05E-11,0.273244636,0.356,0.22,1.54E-07,0,RSU1
1.07E-11,0.256134663,0.944,0.838,1.56E-07,0,PPIB
1.54E-11,0.271174102,0.417,0.269,2.25E-07,0,CALCOCO2
1.59E-11,0.301319552,0.76,0.627,2.33E-07,0,KLF6
2.16E-11,0.265927373,0.159,0.073,3.15E-07,0,SGK1
2.34E-11,0.278428402,0.543,0.377,3.41E-07,0,STIP1
2.63E-11,0.257129361,0.311,0.182,3.83E-07,0,GLIPR2
2.64E-11,0.289646766,0.622,0.451,3.85E-07,0,JPT1
3.73E-11,0.300177213,0.46,0.304,5.44E-07,0,TRADD
5.76E-11,0.338602575,0.58,0.427,8.41E-07,0,COX17
5.90E-11,0.279391759,0.473,0.316,8.61E-07,0,ICAM3
6.10E-11,0.254508443,0.13,0.055,8.91E-07,0,TTC39C-AS1
6.47E-11,0.304688372,0.482,0.337,9.44E-07,0,TAPBP
1.06E-10,0.268883563,0.252,0.142,1.55E-06,0,UNC119
1.14E-10,0.317290395,0.679,0.552,1.66E-06,0,SNX6
1.21E-10,0.26990421,0.655,0.47,1.77E-06,0,PSMA4
2.11E-10,0.291438145,0.438,0.298,3.08E-06,0,OPTN
3.38E-10,0.282341976,0.857,0.752,4.93E-06,0,PLP2
3.42E-10,0.394494775,0.337,0.223,4.99E-06,0,SOD2
4.71E-10,0.270593389,0.46,0.315,6.88E-06,0,SIT1
5.38E-10,0.272775235,0.474,0.328,7.86E-06,0,HERPUD1
5.39E-10,0.275361178,0.446,0.312,7.87E-06,0,PSENEN
6.14E-10,0.305094415,0.321,0.206,8.97E-06,0,NECAP2
8.17E-10,0.30784033,0.356,0.237,1.19E-05,0,ITGB1
1.21E-09,0.273531618,0.306,0.191,1.76E-05,0,PRNP
1.54E-09,0.29393231,0.806,0.65,2.25E-05,0,CALR
2.72E-09,0.279194745,0.196,0.106,3.98E-05,0,C1orf162
3.19E-09,0.260810477,0.272,0.171,4.66E-05,0,TARS
3.37E-09,0.28898218,0.412,0.285,4.92E-05,0,CD47
3.94E-09,0.276707914,0.591,0.456,5.76E-05,0,TBCB
3.98E-09,0.275726481,0.587,0.455,5.81E-05,0,HLA-F
4.89E-09,0.260795554,0.192,0.108,7.14E-05,0,ARL4A
5.87E-09,0.262165845,0.505,0.373,8.57E-05,0,RAB5C
1.06E-08,0.259525417,0.429,0.295,0.000154462,0,CASP4
1.07E-08,0.258357993,0.5,0.36,0.000156967,0,STK17B
1.23E-08,0.254160035,0.359,0.246,0.000178921,0,GNG10
1.68E-08,0.306908054,0.175,0.095,0.000245654,0,CTSL
2.36E-08,0.269401866,0.657,0.526,0.000344318,0,TSPO
2.71E-08,0.253975783,0.327,0.218,0.0003964,0,TAP2
3.54E-08,0.294230733,0.492,0.367,0.000516931,0,CLDND1
5.38E-08,0.251898414,0.348,0.24,0.000785641,0,FERMT3
1.12E-07,0.254076033,0.356,0.247,0.001637522,0,TMEM173
7.55E-07,0.320597386,0.399,0.304,0.011030122,0,LAP3
8.16E-07,0.25211592,0.516,0.4,0.011921895,0,SEPTIN1
1.51E-06,0.296766479,0.639,0.531,0.022110175,0,DDIT4
2.09E-06,0.305792587,0.29,0.205,0.030496044,0,LINC01943
7.19E-06,0.257584904,0.428,0.326,0.105007973,0,VAMP5
0.0001292,0.257183445,0.537,0.457,1,0,GPR171
0.000365125,0.382428717,0.104,0.064,1,0,TRAV9-2
0.003743751,0.276270982,0.296,0.247,1,0,PIM2
0.006445971,0.316905903,0.141,0.105,1,0,ATF5
1.17E-80,1.667448192,0.419,0.107,1.71E-76,1,GZMA
1.72E-75,1.041107735,0.643,0.266,2.51E-71,1,TIMP1
1.50E-73,0.677546053,1,0.999,2.19E-69,1,ACTB
1.57E-73,1.058369399,0.559,0.204,2.29E-69,1,HOPX
1.62E-64,0.568099663,0.996,0.977,2.36E-60,1,SH3BGRL3
8.61E-55,0.802023943,0.904,0.702,1.26E-50,1,CD52
9.46E-54,1.070901707,0.846,0.595,1.38E-49,1,S100A4
7.14E-53,0.588694343,0.982,0.869,1.04E-48,1,ARHGDIB
2.24E-52,0.677867065,0.987,0.889,3.27E-48,1,IL32
2.41E-52,0.587902978,0.991,0.894,3.52E-48,1,MYL12A
8.11E-52,0.659427888,0.967,0.805,1.18E-47,1,S100A11
2.83E-48,0.5339269,0.994,0.957,4.14E-44,1,ACTG1
2.48E-47,0.654744973,0.936,0.76,3.63E-43,1,CORO1A
1.47E-46,0.504743259,0.996,0.959,2.14E-42,1,PFN1
2.80E-45,0.532194031,0.983,0.917,4.09E-41,1,S100A10
1.75E-44,0.590798784,0.961,0.81,2.56E-40,1,CLIC1
3.05E-42,0.456919701,0.993,0.963,4.45E-38,1,MYL6
3.44E-42,0.569145102,0.987,0.775,5.02E-38,1,LTB
6.37E-40,0.561809089,0.987,0.894,9.30E-36,1,VIM
3.10E-39,0.431933346,0.993,0.95,4.53E-35,1,CFL1
2.82E-35,0.726825513,0.711,0.483,4.11E-31,1,CKLF
2.85E-35,0.777209604,0.401,0.182,4.17E-31,1,CXCR3
2.04E-33,0.572049373,0.862,0.664,2.98E-29,1,CYBA
4.18E-32,0.438383745,0.974,0.858,6.11E-28,1,S100A6
2.37E-30,0.618825153,0.763,0.543,3.46E-26,1,CRIP1
1.75E-29,0.650147102,0.439,0.221,2.55E-25,1,AQP3
5.52E-27,0.579415908,0.518,0.281,8.06E-23,1,KLRB1
4.83E-25,0.563945697,0.318,0.142,7.05E-21,1,NCF1
7.80E-25,0.347669754,0.985,0.929,1.14E-20,1,CALM1
6.60E-24,0.415693236,0.807,0.588,9.64E-20,1,IL7R
5.84E-23,0.404105572,0.963,0.858,8.53E-19,1,RAC2
7.57E-23,0.277095726,1,0.996,1.11E-18,1,MT-CYB
9.67E-23,0.341906055,0.892,0.65,1.41E-18,1,ANXA1
1.86E-22,0.416419958,0.864,0.709,2.72E-18,1,LAPTM5
2.52E-22,0.350526284,0.971,0.928,3.68E-18,1,FXYD5
4.41E-22,0.512117411,0.369,0.188,6.43E-18,1,CAPG
4.94E-22,0.636980172,0.447,0.265,7.21E-18,1,CORO1B
9.03E-21,0.371433307,0.89,0.719,1.32E-16,1,GSTK1
1.66E-20,0.530871706,0.197,0.073,2.42E-16,1,CXCR6
1.32E-19,0.602923522,0.599,0.436,1.93E-15,1,LCP2
1.76E-19,0.439314331,0.7,0.51,2.57E-15,1,ANXA2
2.10E-19,0.466540748,0.301,0.149,3.06E-15,1,PTGER2
5.98E-19,0.4419869,0.265,0.119,8.73E-15,1,LIME1
6.44E-19,0.461972467,0.559,0.386,9.41E-15,1,CNN2
1.16E-18,0.582814398,0.539,0.349,1.69E-14,1,LGALS1
8.53E-18,0.379915075,0.903,0.809,1.25E-13,1,ARPC1B
1.24E-16,0.523348447,0.603,0.458,1.80E-12,1,OCIAD2
1.26E-16,0.494365898,0.395,0.25,1.84E-12,1,RGS19
1.47E-16,0.396031718,0.809,0.69,2.15E-12,1,CSTB
2.70E-16,0.277564927,0.961,0.906,3.94E-12,1,CD3E
3.39E-16,0.491853526,0.535,0.37,4.95E-12,1,UPP1
3.86E-16,0.463184113,0.515,0.341,5.64E-12,1,LGALS3
5.77E-16,0.491140608,0.507,0.354,8.43E-12,1,HCST
9.25E-16,0.433691732,0.574,0.403,1.35E-11,1,DHRS7
2.12E-15,0.472576318,0.634,0.48,3.10E-11,1,TUBA4A
3.28E-15,0.411943377,0.392,0.237,4.80E-11,1,GPR65
5.00E-15,0.371458604,0.8,0.685,7.30E-11,1,IFITM2
2.39E-14,0.383556954,0.566,0.409,3.50E-10,1,TPM4
3.79E-14,0.440285705,0.612,0.481,5.53E-10,1,IER2
6.37E-14,0.312691931,0.862,0.779,9.31E-10,1,CD53
1.34E-13,0.384113721,0.647,0.481,1.95E-09,1,FLT3LG
1.61E-13,0.397562115,0.667,0.533,2.36E-09,1,CD63
2.19E-13,0.410385079,0.305,0.176,3.20E-09,1,PYCARD
2.77E-13,0.370265883,0.697,0.573,4.04E-09,1,LCK
4.51E-13,0.394776102,0.654,0.519,6.59E-09,1,LCP1
5.23E-13,0.345801084,0.656,0.506,7.63E-09,1,CISH
5.82E-13,0.252421264,0.952,0.913,8.50E-09,1,MYL12B
5.89E-13,0.389905162,0.515,0.366,8.60E-09,1,ARHGAP15
1.68E-12,0.283544419,0.923,0.849,2.46E-08,1,CD3D
3.68E-12,0.41811903,0.588,0.431,5.38E-08,1,TXNIP
5.62E-12,0.330395112,0.774,0.579,8.21E-08,1,ALOX5AP
1.08E-11,0.364656467,0.452,0.321,1.58E-07,1,SIT1
1.15E-11,0.392095446,0.309,0.192,1.68E-07,1,TBC1D10C
2.58E-11,0.297698265,0.75,0.639,3.77E-07,1,PPP1CA
2.88E-11,0.360087039,0.439,0.312,4.20E-07,1,ARRB2
3.67E-11,0.269567998,0.107,0.04,5.36E-07,1,NCF4
5.22E-11,0.315668609,0.864,0.76,7.63E-07,1,CD2
6.48E-11,0.373428823,0.368,0.24,9.47E-07,1,GLIPR1
9.16E-11,0.319990738,0.682,0.565,1.34E-06,1,VAMP8
4.27E-10,0.274355296,0.733,0.616,6.24E-06,1,LSP1
5.02E-10,0.378408336,0.357,0.239,7.32E-06,1,EMB
5.20E-10,0.317219619,0.699,0.595,7.59E-06,1,ACTR3
5.58E-10,0.285226227,0.974,0.914,8.14E-06,1,EMP3
6.16E-10,0.332320672,0.45,0.325,9.00E-06,1,ICAM3
9.30E-10,0.275823193,0.831,0.753,1.36E-05,1,GMFG
1.13E-09,0.362946301,0.165,0.084,1.65E-05,1,HBEGF
2.26E-09,0.312989143,0.219,0.126,3.30E-05,1,ITM2C
2.80E-09,0.366208259,0.48,0.368,4.08E-05,1,STK17B
3.39E-09,0.363397747,0.522,0.423,4.95E-05,1,CCDC107
5.56E-09,0.3216178,0.494,0.373,8.11E-05,1,CD96
6.66E-09,0.361609462,0.381,0.281,9.73E-05,1,PNP
1.07E-08,0.298646788,0.702,0.582,0.000155796,1,GPSM3
1.13E-08,0.322492352,0.636,0.533,0.000165625,1,CD69
2.65E-08,0.319003297,0.456,0.36,0.000387327,1,PAXX
3.19E-08,0.332940694,0.461,0.363,0.000465562,1,PPP1R18
4.38E-08,0.293273211,0.336,0.237,0.000639093,1,XBP1
6.69E-08,0.314766055,0.285,0.19,0.000977423,1,GLIPR2
1.01E-07,0.252446105,0.171,0.097,0.001478122,1,IFNGR1
1.40E-07,0.320649467,0.443,0.356,0.002037862,1,SLC9A3R1
2.02E-07,0.295264603,0.193,0.115,0.0029459,1,DHRS3
2.44E-07,0.263645932,0.305,0.204,0.0035633,1,PDE4D
2.45E-07,0.313567138,0.303,0.213,0.003576321,1,SPN
2.58E-07,0.271972623,0.719,0.612,0.003773781,1,ABRACL
3.96E-07,0.321438772,0.572,0.484,0.005784587,1,NOSIP
4.03E-07,0.298598379,0.371,0.284,0.005884811,1,SKAP1
5.92E-07,0.258793512,0.165,0.095,0.008651835,1,RHOC
6.53E-07,0.273826149,0.743,0.677,0.009535925,1,CDC37
6.64E-07,0.300697451,0.241,0.158,0.009695323,1,CDKN1A
8.76E-07,0.258725985,0.263,0.181,0.012786609,1,GYG1
1.15E-06,0.257303721,0.491,0.408,0.016790821,1,ZNHIT1
1.16E-06,0.271985041,0.167,0.098,0.016923177,1,CTSL
1.21E-06,0.263762409,0.548,0.46,0.017696473,1,OSTF1
1.55E-06,0.3467381,0.46,0.383,0.022583189,1,FKBP11
1.81E-06,0.258155661,0.381,0.293,0.026425343,1,MYH9
2.52E-06,0.29031124,0.268,0.191,0.036785932,1,ITGB2
3.24E-06,0.252755877,0.588,0.522,0.047301515,1,BCAP31
3.53E-06,0.251194037,0.535,0.444,0.051512424,1,EML4
5.68E-06,0.256673739,0.346,0.265,0.083012069,1,ITGA4
6.32E-06,0.258860857,0.539,0.459,0.092361348,1,SSR3
1.13E-05,0.26143949,0.241,0.169,0.16453514,1,MYADM
1.66E-05,0.251010946,0.254,0.182,0.243090594,1,CDC42EP3
2.25E-05,0.77665082,0.215,0.151,0.328457261,1,GNLY
4.80E-05,0.284310559,0.312,0.249,0.700515238,1,FERMT3
5.32E-05,0.270252779,0.362,0.291,0.776460688,1,ACAP1
0.000166657,0.254742562,0.301,0.24,1,1,ACAA2
0.000267327,0.26600003,0.349,0.292,1,1,DOK2
0.000300165,0.275296014,0.256,0.198,1,1,JUN
0.000456732,0.27215861,0.289,0.237,1,1,SIGIRR
0.001850363,0.515366945,0.171,0.124,1,1,TRBV20-1
1.13E-294,3.268415195,0.887,0.156,1.66E-290,2,FABP5
4.64E-265,1.87356553,0.486,0.016,6.77E-261,2,CD200
5.43E-230,1.432106119,0.67,0.073,7.92E-226,2,DUSP4
7.79E-229,1.82615602,0.783,0.113,1.14E-224,2,TNFRSF9
1.07E-213,1.428300054,0.477,0.028,1.57E-209,2,NR4A1
1.50E-211,0.909039996,0.351,0.005,2.19E-207,2,POU2AF1
6.80E-203,1.957914679,0.867,0.263,9.93E-199,2,NME1
3.97E-202,1.758454747,0.744,0.128,5.80E-198,2,REL
4.39E-191,1.73747018,0.995,0.924,6.41E-187,2,HSP90AB1
8.22E-186,1.312442286,0.554,0.06,1.20E-181,2,DUSP2
2.89E-176,1.093849102,0.38,0.02,4.23E-172,2,GNG4
3.25E-173,2.045958439,0.948,0.501,4.75E-169,2,HSPD1
8.19E-173,0.965912855,0.421,0.03,1.20E-168,2,PDCD1
1.29E-168,2.480846914,0.891,0.307,1.88E-164,2,MIR155HG
2.94E-162,1.944663484,0.887,0.341,4.30E-158,2,CD82
3.31E-162,1.040749367,0.624,0.098,4.83E-158,2,NPM3
1.31E-161,1.494901364,0.998,0.939,1.92E-157,2,NPM1
1.51E-161,1.032060199,0.618,0.094,2.21E-157,2,CKS2
2.02E-161,1.354248474,0.765,0.182,2.94E-157,2,NOP16
1.47E-159,1.29275936,0.749,0.17,2.14E-155,2,EBNA1BP2
5.19E-159,1.439144601,0.984,0.81,7.57E-155,2,RAN
3.67E-158,1.275861436,0.794,0.196,5.36E-154,2,TIMM13
9.61E-157,1.574556674,0.376,0.026,1.40E-152,2,NFKBID
1.02E-156,1.779935884,0.952,0.58,1.49E-152,2,HSPE1
1.45E-153,1.294610037,0.74,0.171,2.12E-149,2,MRPL12
1.90E-151,0.791398521,0.439,0.043,2.78E-147,2,CTPS1
2.75E-150,2.607220904,0.382,0.032,4.01E-146,2,NMB
5.36E-150,0.932206218,0.394,0.033,7.82E-146,2,ZBTB32
9.00E-149,0.927748187,0.57,0.086,1.31E-144,2,KPNA2
2.28E-148,1.574219666,0.977,0.745,3.34E-144,2,NCL
2.09E-145,1.482255073,0.941,0.482,3.05E-141,2,CCT2
4.81E-143,1.142811827,0.683,0.145,7.02E-139,2,DCUN1D5
1.13E-142,0.891192734,0.405,0.038,1.66E-138,2,SDC4
1.10E-137,1.612873833,0.627,0.128,1.61E-133,2,MYC
1.73E-136,1.3684076,0.959,0.727,2.53E-132,2,NME2
1.83E-136,0.626049776,0.362,0.029,2.68E-132,2,IL21R
3.30E-136,1.886623577,0.681,0.164,4.81E-132,2,BCL2A1
3.44E-135,1.490798712,0.916,0.378,5.02E-131,2,DDX21
9.34E-135,1.802361376,0.74,0.215,1.36E-130,2,ID2
1.03E-133,1.471331491,0.952,0.694,1.51E-129,2,PRDX1
1.45E-132,0.707843615,0.303,0.018,2.12E-128,2,F5
1.95E-132,1.068809063,0.726,0.177,2.85E-128,2,GTPBP4
2.24E-132,0.604170154,0.335,0.025,3.27E-128,2,PYCR1
2.06E-130,0.767665669,1,0.995,3.01E-126,2,PTMA
3.32E-130,1.081601755,0.733,0.18,4.84E-126,2,MRTO4
1.29E-129,0.967374354,0.351,0.03,1.89E-125,2,NR4A2
1.72E-129,0.744061541,0.446,0.056,2.51E-125,2,WDR12
3.52E-129,1.164746216,0.69,0.167,5.14E-125,2,NOLC1
6.74E-128,1.158528399,0.726,0.186,9.84E-124,2,PUM3
6.91E-127,1.402798895,0.971,0.73,1.01E-122,2,PGAM1
1.08E-126,1.270666866,0.962,0.801,1.58E-122,2,EIF4A1
8.94E-126,1.106798605,0.704,0.178,1.31E-121,2,ATP1B3
1.78E-125,1.299618656,0.962,0.66,2.60E-121,2,PARK7
2.10E-125,1.242300448,0.724,0.198,3.07E-121,2,SMS
1.83E-124,1.30416477,0.905,0.456,2.68E-120,2,NHP2
7.93E-123,1.120520469,0.824,0.262,1.16E-118,2,MRPL4
9.05E-123,1.153453602,0.464,0.069,1.32E-118,2,CTLA4
1.05E-122,1.300574594,0.946,0.67,1.54E-118,2,PSMA2
2.60E-122,1.086045327,0.747,0.2,3.79E-118,2,PAICS
7.10E-122,1.247870601,0.781,0.26,1.04E-117,2,RANBP1
1.33E-121,1.25274057,0.887,0.434,1.94E-117,2,SNRPD1
1.07E-120,1.208066244,0.903,0.435,1.56E-116,2,SNRPE
1.83E-119,0.885923555,0.584,0.114,2.67E-115,2,BZW2
2.40E-119,0.874878801,0.568,0.11,3.51E-115,2,AIMP2
4.10E-117,0.850245872,0.566,0.107,5.98E-113,2,BTG3
1.23E-116,1.152921658,0.801,0.257,1.80E-112,2,SYNCRIP
1.63E-116,1.277683638,0.903,0.494,2.39E-112,2,CCT6A
4.03E-116,0.709478616,0.452,0.066,5.89E-112,2,FKBP4
1.69E-115,0.872047069,0.543,0.098,2.47E-111,2,LYST
3.83E-115,0.843924887,0.416,0.056,5.59E-111,2,AHI1
1.66E-114,1.230896789,0.889,0.415,2.43E-110,2,CCT3
1.88E-114,0.800971042,0.339,0.034,2.74E-110,2,BMERB1
2.29E-114,1.035502455,0.597,0.126,3.35E-110,2,SLA
2.64E-114,1.172023231,0.959,0.649,3.86E-110,2,EIF5A
7.25E-114,0.883714863,0.403,0.052,1.06E-109,2,TBC1D4
1.03E-113,0.958006652,0.695,0.176,1.50E-109,2,RPIA
1.53E-113,1.133383165,0.597,0.137,2.23E-109,2,BCL2L1
7.35E-113,1.221592676,0.95,0.543,1.07E-108,2,SERBP1
7.38E-113,0.449036179,0.213,0.006,1.08E-108,2,LINC01281
1.25E-112,1.155045026,0.88,0.392,1.83E-108,2,CCT5
1.37E-112,0.837683286,0.593,0.126,1.99E-108,2,DCAF13
5.97E-112,1.634662556,0.973,0.777,8.72E-108,2,SRGN
6.75E-112,1.041033858,0.679,0.166,9.86E-108,2,CYTOR
3.99E-111,0.808717383,0.505,0.089,5.83E-107,2,IFRD2
